Date,AQI
2024-10-19,69.0
2024-10-20,43.0
2024-10-21,55.0
2024-10-22,79.0
2024-10-23,60.0
2024-10-24,120.0
2024-10-25,113.0
2024-10-26,109.0
2024-10-27,100.0
2024-10-28,112.0
2024-10-29,130.0
2024-10-30,140.0
2024-10-31,114.0
2024-11-01,162.0
2024-11-03,152.0
2024-11-04,142.0
2024-11-05,137.0
2024-11-06,141.0
2024-11-07,130.0
2024-11-08,173.0
2024-11-09,165.0
2024-11-10,183.0
2024-11-11,245.0
2024-11-12,250.0
2024-11-13,164.0
2024-11-14,147.0
2024-11-15,131.0
2024-11-16,134.0
2024-11-17,145.0
2024-11-18,142.0
2024-11-19,141.0
2024-11-20,151.0
2024-11-21,156.0
2024-11-22,154.0
2024-11-23,174.0
2024-11-24,160.0
2024-11-25,187.0
2024-11-26,244.0
2024-11-27,249.0
2024-11-28,204.0
2024-11-29,173.0
2024-11-30,215.0
2024-12-01,219.0
2024-12-02,215.0
2024-12-03,98.0
2024-12-04,98.0
2024-12-05,100.0
2024-12-06,88.0
2024-12-07,89.0
2024-12-08,88.0
2024-12-09,105.0
2024-12-10,120.0
2024-12-11,151.0
2024-12-12,128.0
2024-12-13,126.0
2024-12-14,118.0
2024-12-15,138.0
2024-12-16,224.0
2024-12-17,177.0
2024-12-18,170.0
2024-12-19,137.0
2024-12-20,84.0
2024-12-21,114.0
2024-12-22,81.0
2024-12-23,62.0
2024-12-24,82.0
2024-12-25,129.0
2024-12-26,125.0
2024-12-27,109.0
2024-12-28,89.0
2024-12-29,149.0
2024-12-30,106.0
2024-12-31,109.0
