Date,AQI
2024-12-05,111.0
2024-12-06,108.0
2024-12-07,93.0
2024-12-08,98.0
2024-12-11,170.0
2024-12-12,140.0
2024-12-14,133.0
2024-12-15,142.0
2024-12-16,143.0
2024-12-17,145.0
2024-12-18,182.0
2024-12-19,178.0
2024-12-20,136.0
2024-12-21,152.0
2024-12-22,123.0
2024-12-23,106.0
2024-12-24,115.0
2024-12-25,134.0
2024-12-26,112.0
2024-12-27,101.0
2024-12-28,95.0
2024-12-29,114.0
2024-12-30,94.0
2024-12-31,124.0
